Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Voie,Code postal,Surface reelle bati,Nombre pieces principales,Type local,adresse_complete,lat_long
06/02/2020,Vente,"470000,00",44,,RUE,DE VALLIERES,63000,30.0,2.0,Appartement,44  RUE DE VALLIERES 63000  CLERMONT,"(45.766665, 3.0805418)"
06/02/2020,Vente,"470000,00",44,,RUE,DE VALLIERES,63000,34.0,2.0,Appartement,44  RUE DE VALLIERES 63000  CLERMONT,"(45.766665, 3.0805418)"
06/02/2020,Vente,"470000,00",44,,RUE,DE VALLIERES,63000,30.0,2.0,Appartement,44  RUE DE VALLIERES 63000  CLERMONT,"(45.766665, 3.0805418)"
06/02/2020,Vente,"470000,00",44,,RUE,DE VALLIERES,63000,34.0,2.0,Appartement,44  RUE DE VALLIERES 63000  CLERMONT,"(45.766665, 3.0805418)"
06/02/2020,Vente,"470000,00",44,,RUE,DE VALLIERES,63000,0.0,0.0,Dépendance,44  RUE DE VALLIERES 63000  CLERMONT,"(45.766665, 3.0805418)"
06/02/2020,Vente,"470000,00",44,,RUE,DE VALLIERES,63000,0.0,0.0,Dépendance,44  RUE DE VALLIERES 63000  CLERMONT,"(45.766665, 3.0805418)"
06/02/2020,Vente,"470000,00",44,,RUE,DE VALLIERES,63000,33.0,2.0,Appartement,44  RUE DE VALLIERES 63000  CLERMONT,"(45.766665, 3.0805418)"
06/02/2020,Vente en l'état futur d'achèvement,"222800,00",0,,,,0,,,,,"(46.3144754, 11.0480288)"
06/02/2020,Vente en l'état futur d'achèvement,"222800,00",0,,,,0,,,,,"(46.3144754, 11.0480288)"
12/02/2020,Vente,"104000,00",11,,RUE,DE VERTAIZON,63000,63.0,3.0,Appartement,11  RUE DE VERTAIZON 63000  CLERMONT,"(45.7747483, 3.1000027)"
12/02/2020,Vente,"104000,00",11,,RUE,DE VERTAIZON,63000,0.0,0.0,Dépendance,11  RUE DE VERTAIZON 63000  CLERMONT,"(45.7747483, 3.1000027)"
15/01/2020,Vente,"139000,00",58,,RUE,BLATIN,63000,58.0,3.0,Appartement,58  RUE BLATIN 63000  CLERMONT,"(45.7766057, 3.0752172)"
12/02/2020,Vente,"48500,00",64,,RUE,DE L ORADOU,63000,0.0,0.0,Dépendance,64  RUE DE L ORADOU 63000  CLERMONT,"(nan, nan)"
12/02/2020,Vente,"48500,00",66,,RUE,DE L ORADOU,63000,30.0,1.0,Appartement,66  RUE DE L ORADOU 63000  CLERMONT,"(nan, nan)"
15/01/2020,Vente,"110500,00",6,,AV,DU LIMOUSIN,63100,47.0,2.0,Appartement,6  AV DU LIMOUSIN 63100  CLERMONT,"(45.7857494, 3.0650279)"
15/01/2020,Vente,"110500,00",74,,AV,RAYMOND BERGOUGNAN,63100,0.0,0.0,Dépendance,74  AV RAYMOND BERGOUGNAN 63100  CLERMONT,"(45.7823166, 3.0725903)"
07/02/2020,Vente,"56500,00",46,,AV,EDOUARD MICHELIN,63100,34.0,1.0,Appartement,46  AV EDOUARD MICHELIN 63100  CLERMONT,"(45.7812473, 3.1046843)"
07/02/2020,Vente,"56500,00",44,,AV,EDOUARD MICHELIN,63100,0.0,0.0,Dépendance,44  AV EDOUARD MICHELIN 63100  CLERMONT,"(45.7812473, 3.1046843)"
12/02/2020,Vente,"1050000,00",9,,RUE,GUTENBERG,63100,525.0,0.0,Local industriel. commercial ou assimilé,9  RUE GUTENBERG 63100  CLERMONT,"(45.7818343, 3.1232531)"
12/02/2020,Vente,"1050000,00",9,,RUE,GUTENBERG,63100,638.0,0.0,Local industriel. commercial ou assimilé,9  RUE GUTENBERG 63100  CLERMONT,"(45.7818343, 3.1232531)"
12/02/2020,Vente,"1050000,00",9,,RUE,GUTENBERG,63100,976.0,0.0,Local industriel. commercial ou assimilé,9  RUE GUTENBERG 63100  CLERMONT,"(45.7818343, 3.1232531)"
13/02/2020,Vente,"116000,00",49,,RUE,DU PONT ST JACQUES,63000,0.0,0.0,Dépendance,49  RUE DU PONT ST JACQUES 63000  CLERMONT,"(45.7672424, 3.089892)"
13/02/2020,Vente,"116000,00",49,,RUE,DU PONT ST JACQUES,63000,79.0,4.0,Appartement,49  RUE DU PONT ST JACQUES 63000  CLERMONT,"(45.7672424, 3.089892)"
06/02/2020,Vente,"97500,00",14,,RUE,ROBERVAL,63000,68.0,4.0,Appartement,14  RUE ROBERVAL 63000  CLERMONT,"(45.7670931, 3.0790975)"
07/02/2020,Vente,"142500,00",141,,RUE,DE LA FOI,63100,79.0,4.0,Maison,141  RUE DE LA FOI 63100  CLERMONT,"(45.81253365, 3.121454105434782)"
07/02/2020,Vente,"142500,00",0,,RUE,DE LA FOI,63100,,,,0  RUE DE LA FOI 63100  CLERMONT,"(45.8043506, 3.1199035455629858)"
14/02/2020,Vente,"121000,00",9006,,RUE,FRERE HERIBAUD,63000,68.0,4.0,Appartement,9006  RUE FRERE HERIBAUD 63000  CLERMONT,"(45.7795925, 3.1121633)"
14/02/2020,Vente,"121000,00",9002,,RUE,FRERE HERIBAUD,63000,0.0,0.0,Dépendance,9002  RUE FRERE HERIBAUD 63000  CLERMONT,"(45.7795925, 3.1121633)"
07/02/2020,Vente,"98700,00",28,,RUE,DU CLOS NOTRE DAME,63000,66.0,3.0,Appartement,28  RUE DU CLOS NOTRE DAME 63000  CLERMONT,"(45.7845602, 3.0783530861899306)"
07/02/2020,Vente,"98700,00",18,,RUE,DES PORTES D ARGENT,63000,0.0,0.0,Dépendance,18  RUE DES PORTES D ARGENT 63000  CLERMONT,"(nan, nan)"
12/02/2020,Vente,"537600,00",0,,AV,DU BREZET,63100,,,,0  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
12/02/2020,Vente,"537600,00",130,,AV,DU BREZET,63100,300.0,0.0,Local industriel. commercial ou assimilé,130  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
12/02/2020,Vente,"537600,00",126,,AV,DU BREZET,63100,175.0,0.0,Local industriel. commercial ou assimilé,126  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
12/02/2020,Vente,"537600,00",126,,AV,DU BREZET,63100,100.0,3.0,Maison,126  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
12/02/2020,Vente,"537600,00",130,,AV,DU BREZET,63100,0.0,0.0,Dépendance,130  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
12/02/2020,Vente,"537600,00",130,,AV,DU BREZET,63100,100.0,5.0,Maison,130  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
12/02/2020,Vente,"537600,00",0,,AV,DU BREZET,63100,,,,0  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
12/02/2020,Vente,"537600,00",0,,AV,DU BREZET,63100,,,,0  AV DU BREZET 63100  CLERMONT,"(45.7791614, 3.1251222)"
31/01/2020,Vente,"100000,00",4,,IMP,CHAMPLAIN,63000,119.0,0.0,Local industriel. commercial ou assimilé,4  IMP CHAMPLAIN 63000  CLERMONT,"(45.7809264, 3.0802016)"
31/01/2020,Vente,"135650,00",32,,RUE,EUGENE GILBERT,63000,0.0,0.0,Dépendance,32  RUE EUGENE GILBERT 63000  CLERMONT,"(45.7736893, 3.0801983)"
31/01/2020,Vente,"135650,00",32,,RUE,EUGENE GILBERT,63000,78.0,5.0,Appartement,32  RUE EUGENE GILBERT 63000  CLERMONT,"(45.7736893, 3.0801983)"
31/01/2020,Vente,"140800,00",7,,RUE,DE LA COIFFERIE,63000,0.0,0.0,Dépendance,7  RUE DE LA COIFFERIE 63000  CLERMONT,"(45.7792157, 3.0847393)"
31/01/2020,Vente,"140800,00",5,,RUE,DE LA COIFFERIE,63000,55.0,2.0,Appartement,5  RUE DE LA COIFFERIE 63000  CLERMONT,"(45.7791464, 3.0847182)"
29/01/2020,Vente,"160000,00",55,,RUE,ALEXANDRE RIBOT,63000,103.0,4.0,Maison,55  RUE ALEXANDRE RIBOT 63000  CLERMONT,"(45.7659367, 3.0929632)"
14/02/2020,Vente,"102600,00",17,,RUE,SAINT SIMON,63000,66.0,3.0,Appartement,17  RUE SAINT SIMON 63000  CLERMONT,"(45.7725346, 3.0766018)"
